trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1}",25,0,-73.52723857060306,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1}",20,0,-127.1605463224933,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1}",30,0,-88.77428015864851,"{0: 21, 1: 1, 2: 6, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1}",30,0,-38.906748759107934,"{0: 21, 1: 5, 2: 4, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1}",20,0,-100.01854198122429,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1}",20,0,-150.12871853012732,"{0: 8, 1: 1, 2: 9, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1}",30,0,-160.6680946180402,"{0: 18, 1: 1, 2: 8, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1}",25,0,-81.98647242872197,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1}",20,0,-88.05759646645271,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1}",20,0,-36.00757502146731,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1}",30,6,-118.93800801866544,"{0: 16, 1: 3, 2: 2, 3: 1, 4: 2}",1
12,False,"{'a': 0.5, 'e': 1}",30,0,-108.10249092284779,"{0: 21, 1: 3, 2: 4, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1}",30,0,-180.63159789224068,"{0: 17, 1: 3, 2: 6, 3: 2, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1}",20,0,-55.412701987433536,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1}",25,0,-89.52732956049239,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1}",35,0,-122.12613778546563,"{0: 24, 1: 2, 2: 6, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1}",20,9,-72.10151384509673,"{0: 5, 1: 2, 2: 3, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 1}",25,0,-101.32182488616405,"{0: 17, 1: 4, 2: 2, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1}",20,0,-73.30700372095646,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1}",20,0,-107.88597683415136,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
21,False,"{'a': 0.5, 'e': 1}",20,0,-90.72929392426819,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
22,False,"{'a': 0.5, 'e': 1}",20,0,-92.84299833087746,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
23,False,"{'a': 0.5, 'e': 1}",20,0,-73.41006600011262,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",0
24,False,"{'a': 0.5, 'e': 1}",30,1,-52.05744724503628,"{0: 23, 1: 2, 2: 3, 3: 0, 4: 1}",1
25,False,"{'a': 0.5, 'e': 1}",35,0,-241.87662223799964,"{0: 20, 1: 3, 2: 7, 3: 1, 4: 4}",0
26,False,"{'a': 0.5, 'e': 1}",35,0,-156.24966403179678,"{0: 22, 1: 3, 2: 7, 3: 1, 4: 2}",0
27,False,"{'a': 0.5, 'e': 1}",20,0,-169.15006234053962,"{0: 12, 1: 0, 2: 2, 3: 4, 4: 2}",0
28,False,"{'a': 0.5, 'e': 1}",25,0,-97.13837449695423,"{0: 15, 1: 4, 2: 2, 3: 4, 4: 0}",0
29,False,"{'a': 0.5, 'e': 1}",20,0,-136.79186549318118,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
30,False,"{'a': 0.5, 'e': 1}",30,0,-117.88760612035398,"{0: 18, 1: 3, 2: 5, 3: 4, 4: 0}",0
31,False,"{'a': 0.5, 'e': 1}",20,0,-164.5311789582295,"{0: 12, 1: 4, 2: 0, 3: 0, 4: 4}",0
32,False,"{'a': 0.5, 'e': 1}",30,0,-196.8953127433858,"{0: 17, 1: 5, 2: 3, 3: 2, 4: 3}",0
33,False,"{'a': 0.5, 'e': 1}",20,0,-106.95339271683999,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
34,False,"{'a': 0.5, 'e': 1}",30,0,-87.34675879145051,"{0: 21, 1: 3, 2: 5, 3: 0, 4: 1}",0
35,False,"{'a': 0.5, 'e': 1}",25,0,-122.42021658182689,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
