trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-155.42961288541335,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 4}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-123.84932043909716,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",35,15,-77.02934549320946,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",1
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-13.205230416788492,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-96.70879429426596,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-161.41715256960447,"{0: 13, 1: 2, 2: 8, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",35,0,-137.97357459409912,"{0: 26, 1: 2, 2: 4, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-67.87849221018222,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-164.2390632573979,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-31.806994407043163,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,3,-176.09158350087873,"{0: 8, 1: 3, 2: 1, 3: 2, 4: 3}",1
12,False,"{'a': 0.5, 'e': 1.0}",35,0,-10.797352823382704,"{0: 30, 1: 1, 2: 4, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-108.38645417890174,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-189.48029709555232,"{0: 12, 1: 2, 2: 7, 3: 2, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-115.13943947736297,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-55.678621963153205,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-150.63460114823886,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-52.188516758241576,"{0: 22, 1: 3, 2: 4, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-126.15541064827109,"{0: 19, 1: 1, 2: 7, 3: 2, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-73.94772397735771,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,12,-51.41942805060291,"{0: 4, 1: 2, 2: 1, 3: 0, 4: 1}",1
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-92.86061499505057,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-173.76282856469211,"{0: 12, 1: 1, 2: 8, 3: 3, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-59.254562829794146,"{0: 19, 1: 3, 2: 1, 3: 1, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,2,-113.03432354456982,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 2}",1
6,True,"{'a': 0.5, 'e': 1.0}",25,7,-28.984830370963223,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 0}",1
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-203.38948225701665,"{0: 20, 1: 1, 2: 4, 3: 1, 4: 4}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-142.20847889417934,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-87.43212197616647,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-76.57471894679298,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
